namaJabatan,level,namaOpd
Pemimpin BLUD,5,UPTD Kawasan Sains dan Teknologi Solo Technopark
Pejabat Keuangan,6,UPTD Kawasan Sains dan Teknologi Solo Technopark
Pejabat Teknis Umum,6,UPTD Kawasan Sains dan Teknologi Solo Technopark
Manager Dukungan Bisnis Pelayanan dan Pengembangan,6,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Akuntansi,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Anggaran,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Pengelolaan Aset,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Administrasi dan Kepegawaian,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Logistik,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Information Technology,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Pemberdayaan Kawasan,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Public Relation,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Kerjasama dan Hukum,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Riset dan Inkubator,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Sentra Fasilitas HAKI,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Diklat,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Welding Edukasi,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Kepala Divisi Produksi Dan Pemasaran,7,UPTD Kawasan Sains dan Teknologi Solo Technopark
Marketing Officer,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Marketing Diklat,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Keuangan,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Kesekretariatan,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Information Technology,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Pemberdayaan Kawasan,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Divisi Kerjasama dan Hukum,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staf Riset dan Inkubator,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staff Admin Produksi,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Support OGSCI,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Staff Maintenance,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Welding,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Milling,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Grinding,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Bubut,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Kerja Bangku,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Instruktur Cadcam/ Gambar Teknik,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Programer CNC Bubut,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Programer CNC Milling,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Operator Welding,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Operator Manual,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Operator CNC Milling,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Toolman dan Expedisi,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
Driver,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
House Keeping,8,UPTD Kawasan Sains dan Teknologi Solo Technopark
